Type,TurnID,Category,Timestamp,Message
Log,0,EnemyUnit,17030171.223656,[EnemyUnitBase] Added Faction.Enemy to BP_EnemyUnitBase_C_1
Log,0,EnemyUnit,17030171.223667,[PossessedBy] ✅ ASC initialized via PawnExtension (Owner=BP_EnemyUnitBase_C_1)
Log,0,EnemyUnit,17030171.223678,[PossessedBy] ========== END: BP_EnemyUnitBase_C_1 ==========
Log,0,AIController,17030171.223692,"[LyraTBSAIController] OnPossess: Pawn=BP_EnemyUnitBase_C_1, PlayerState=LyraPlayerState_TBS_2"
Log,0,AIController,17030171.223703,[LyraTBSAIController] LyraTBSAIController_1 SetGenericTeamId: 255 -> 2
Log,0,AIController,17030171.223715,[LyraTBSAIController] OnPossess: TeamId set from NoTeam(255) to Enemy(2)
Log,0,AIController,17030171.223730,"[LyraTBSAIController] InitializeASC: Server-side ASC initialized for Pawn=BP_EnemyUnitBase_C_1, PlayerState=LyraPlayerState_TBS_2"
Log,0,EnemyUnit,17030171.223741,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.223754,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.223764,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_1
Warning,0,UnitBase,17030171.223776,[PostInitializeComponents] ✅ ASC callbacks registered for BP_EnemyUnitBase_C_1
Log,0,EnemyUnit,17030171.223788,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.223799,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.223813,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_1
Log,0,EnemyUnit,17030171.223825,[PostInitializeComponents] ✅ ASC initialization callbacks registered
Log,0,EnemyThinker,17030171.223836,[EnemyThinker] UGridPathfindingSubsystem cached
Log,0,EnemyThinker,17030171.223848,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17030171.223956,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17030171.223969,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17030171.223982,[UnitManager] Registered enemy BP_EnemyUnitBase_C_1 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17030171.223995,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 2/5: BP_EnemyUnitBase_C_1
Log,0,Temp,17030171.224007,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=5950.000 Y=2650.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17030171.224045,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17030171.224654,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17030171.226486,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17030171.226586,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.226640,[PossessedBy] ========== START: BP_EnemyUnitBase_C_2 ==========
Display,0,EnemyUnit,17030171.226653,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17030171.226664,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17030171.226678,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.226706,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17030171.226718,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17030171.226733,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.226744,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.226757,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17030171.226768,[EnemyUnitBase] Added Faction.Enemy to BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17030171.226780,[PossessedBy] ✅ ASC initialized via PawnExtension (Owner=BP_EnemyUnitBase_C_2)
Log,0,EnemyUnit,17030171.226793,[PossessedBy] ========== END: BP_EnemyUnitBase_C_2 ==========
Log,0,AIController,17030171.226806,"[LyraTBSAIController] OnPossess: Pawn=BP_EnemyUnitBase_C_2, PlayerState=LyraPlayerState_TBS_3"
Log,0,AIController,17030171.226817,[LyraTBSAIController] LyraTBSAIController_2 SetGenericTeamId: 255 -> 2
Log,0,AIController,17030171.226830,[LyraTBSAIController] OnPossess: TeamId set from NoTeam(255) to Enemy(2)
Log,0,AIController,17030171.226843,"[LyraTBSAIController] InitializeASC: Server-side ASC initialized for Pawn=BP_EnemyUnitBase_C_2, PlayerState=LyraPlayerState_TBS_3"
Log,0,EnemyUnit,17030171.226855,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.226866,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.226877,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_2
Warning,0,UnitBase,17030171.226892,[PostInitializeComponents] ✅ ASC callbacks registered for BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17030171.226903,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.226914,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.226925,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17030171.226937,[PostInitializeComponents] ✅ ASC initialization callbacks registered
Log,0,EnemyThinker,17030171.226948,[EnemyThinker] UGridPathfindingSubsystem cached
